full_name,repo_url,owner_repo,stars,forks
Gmonte,https://github.com/shimano-yuho/Gmonte,shimano-yuho/Gmonte,1,0
model_thermal_conductivity,https://github.com/uw-cmg/model_thermal_conductivity,uw-cmg/model_thermal_conductivity,1,0
pyddt,https://github.com/rafaela-felix/pyddt,rafaela-felix/pyddt,1,0
goldilocks,https://github.com/stfc/goldilocks,stfc/goldilocks,1,2
model_thermalcond_aflow,https://github.com/uw-cmg/model_thermalcond_aflow,uw-cmg/model_thermalcond_aflow,1,0
spectrojotometer,https://github.com/mmatera/spectrojotometer,mmatera/spectrojotometer,1,0
illacceptanything,https://github.com/kielmarj/illacceptanything,kielmarj/illacceptanything,1,0
intermetallics_mod,https://github.com/ryannduma/intermetallics_mod,ryannduma/intermetallics_mod,1,0
xrd-tools,https://github.com/cheminfo-py/xrd-tools,cheminfo-py/xrd-tools,1,0
wulfflow,https://github.com/Surface-Tools/wulfflow,Surface-Tools/wulfflow,1,0
orgdisord,https://github.com/CCP-NC/orgdisord,CCP-NC/orgdisord,1,0
Abinito-Studio,https://github.com/zhoupan71234/Abinito-Studio,zhoupan71234/Abinito-Studio,1,0
tomographic-interpretation,https://github.com/PV-Lab/tomographic-interpretation,PV-Lab/tomographic-interpretation,1,0
Multitasking_FEFF_calculator,https://github.com/kaifengZheng/Multitasking_FEFF_calculator,kaifengZheng/Multitasking_FEFF_calculator,1,0
superconductor_model,https://github.com/uw-cmg/superconductor_model,uw-cmg/superconductor_model,1,1
welcome-guide,https://github.com/ComCatLab/welcome-guide,ComCatLab/welcome-guide,1,1
pjvasp_package,https://github.com/ShengLin1001/pjvasp_package,ShengLin1001/pjvasp_package,1,0
XASDAML,https://github.com/BSRF-XA/XASDAML,BSRF-XA/XASDAML,1,2
renderCubeFile,https://github.com/JustusStephani/renderCubeFile,JustusStephani/renderCubeFile,1,1
python_teaching,https://github.com/tpurcell90/python_teaching,tpurcell90/python_teaching,1,0
MaterialsCombiner,https://github.com/SeJV/MaterialsCombiner,SeJV/MaterialsCombiner,1,1
pyet-mc,https://github.com/JaminMartin/pyet-mc,JaminMartin/pyet-mc,1,0
d2gnn,https://github.com/sandialabs/d2gnn,sandialabs/d2gnn,1,0
tribosurf,https://github.com/fyalcin/tribosurf,fyalcin/tribosurf,1,0
dephasing-code-project,https://github.com/jacopos86/dephasing-code-project,jacopos86/dephasing-code-project,1,0
iemap-api,https://github.com/ai4mat/iemap-api,ai4mat/iemap-api,1,1
jexchange,https://github.com/wch3n/jexchange,wch3n/jexchange,1,2
SlabGen,https://github.com/shahabafshar/SlabGen,shahabafshar/SlabGen,1,0
google-research,https://github.com/slowy07/google-research,slowy07/google-research,1,0
questaal-reader,https://github.com/santoshkumarradha/questaal-reader,santoshkumarradha/questaal-reader,1,0
automaterials,https://github.com/r-mouta/automaterials,r-mouta/automaterials,1,1
atomate,https://github.com/elevatedesigner/atomate,elevatedesigner/atomate,1,0
