full_name,repo_url
freeflow,https://github.com/vir-k01/freeflow
ASL_app,https://github.com/Gauravsaxena816/ASL_app
atelierGAN,https://github.com/Stephane-ISEN/atelierGAN
Spring_System_Simulator,https://github.com/PRAISE-ADEYEYE/Spring_System_Simulator
ase-flow,https://github.com/wch3n/ase-flow
Autonomous-Materials-Discovery-,https://github.com/RishavIITK22/Autonomous-Materials-Discovery-
ParetoCSP2,https://github.com/usccolumbia/ParetoCSP2
torchsim-hepba,https://github.com/MKPBattery/torchsim-hepba
board,https://github.com/happys14/board
X-Repo2Run,https://github.com/terryyz/X-Repo2Run
top-pypi-sdists-full,https://github.com/AA-Turner/top-pypi-sdists-full
AI_project,https://github.com/Vress0/AI_project
carla_stage_manger,https://github.com/hosfeldli/carla_stage_manger
covalent,https://github.com/EchoCog/covalent
MatMMFuse,https://github.com/AbhiroopBhattacharya/MatMMFuse
isomode,https://github.com/mailhexu/isomode
Semiconductor,https://github.com/AI-and-Semiconductor-Technology-Lab/Semiconductor
LiIonConductivityGraphs,https://github.com/dmchaffi/LiIonConductivityGraphs
vdwp,https://github.com/vitroid/vdwp
ece6254-project,https://github.com/nimashoghi/ece6254-project
WatermarkForge,https://github.com/AbhivirSingh/WatermarkForge
GNN_charge_MD,https://github.com/Sudo-Raheel/GNN_charge_MD
CrystalClassification,https://github.com/mylesgrxnt/CrystalClassification
AdaQSPR,https://github.com/luo-junyu/AdaQSPR
egap-qnn-mlp,https://github.com/Mukul596-svg/egap-qnn-mlp
Uni-Gen,https://github.com/wink1e/Uni-Gen
material-compute-agent,https://github.com/dptech-corp/material-compute-agent
easyXRD,https://github.com/MehmetTopsakal/easyXRD
opXRD,https://github.com/aimat-lab/opXRD
segnn,https://github.com/circee/segnn
ParAIsite,https://github.com/liudmylaklochko/ParAIsite
LLMatDesign,https://github.com/ianwilson97/LLMatDesign
dft-sync,https://github.com/SiliconScientist/dft-sync
MatAgent,https://github.com/Xiaobu-USTC/MatAgent
sc25-agentic-mof-workflow,https://github.com/proxystore/sc25-agentic-mof-workflow
JPSI_XAFS_Workshop,https://github.com/nmarcella/JPSI_XAFS_Workshop
pyiron_workflow_vasp,https://github.com/ligerzero-ai/pyiron_workflow_vasp
Reticular-Material-Discovery,https://github.com/geetheswar-v/Reticular-Material-Discovery
mbe-automation,https://github.com/modrzejewski/mbe-automation
xrdlicious-peak-match,https://github.com/bracerino/xrdlicious-peak-match
bandgap-benchmark,https://github.com/Shef-AIRE/bandgap-benchmark
ML-PCH,https://github.com/IonRepo/ML-PCH
MOFh6,https://github.com/lzhzzzzwill/MOFh6
ml_python_apps,https://github.com/Dmitry-Lisitsyn/ml_python_apps
alab_control,https://github.com/CederGroupHub/alab_control
TGDMat,https://github.com/kdmsit/TGDMat
